age,favorite,where_drink,additions,style,cups,roast_level,expertise,caffeine,strength,coffee_a_bitterness,coffee_a_personal_preference,coffee_b_bitterness,coffee_a_acidity,coffee_b_personal_preference,prefer_abc,prefer_overall,coffee_d_bitterness,coffee_b_acidity,coffee_c_personal_preference,coffee_d_acidity,coffee_d_personal_preference,coffee_c_bitterness,prefer_ad,coffee_c_acidity,brew,why_drink,taste,know_source,most_paid,wfh,gender,total_spend,most_willing,spent_equipment,value_cafe,value_equipment,education_level
45-54 years old,Regular drip coffee,"At home, At the office, At a cafe, On the go",No - just black,Floral,2,Light,8.0,Full caffeine,Medium,3.0,4.0,3.0,3.0,5.0,Coffee B,Coffee B,5.0,3.0,3.0,2.0,3.0,4.0,Coffee A,3.0,"Pour over, French press, Espresso",It tastes good,Yes,Yes,$4-$6,I primarily work from home,Male,$20-$40,$8-$10,$500-$1000,No,Yes,Master's degree
25-34 years old,Pourover,"At home, At the office",No - just black,Floral,2,Light,10.0,Full caffeine,Medium,1.0,4.0,1.0,4.0,4.0,Coffee A,Coffee A,2.0,4.0,4.0,4.0,4.0,1.0,Coffee A,4.0,"Pour over, Espresso","It tastes good, I need the caffeine",Yes,Yes,$2-$4,I do a mix of both,Male,$40-$60,More than $20,$50-$100,Yes,Yes,Master's degree
35-44 years old,Iced coffee,"At the office, At home",No - just black,Fruity,1,Light,6.0,Full caffeine,Very strong,1.0,3.0,3.0,4.0,4.0,Coffee A,Coffee D,1.0,2.0,1.0,4.0,5.0,3.0,Coffee D,4.0,Pour over,It tastes good,Yes,Yes,$10-$15,I primarily work in person,Male,$20-$40,More than $20,$100-$300,Yes,Yes,Bachelor's degree
45-54 years old,Pourover,At home,No - just black,Full Bodied,More than 4,Dark,7.0,Full caffeine,Somewhat strong,2.0,4.0,3.0,3.0,2.0,Coffee A,Coffee A,3.0,2.0,2.0,3.0,2.0,2.0,Coffee A,2.0,"Pour over, French press, Pod/capsule machine (e.g. Keurig/Nespresso)","It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$10-$15,I primarily work from home,Male,$40-$60,$15-$20,$300-$500,Yes,Yes,Bachelor's degree
35-44 years old,Cappuccino,"At a cafe, At home","Milk, dairy alternative, or coffee creamer",Floral,2,Blonde,4.0,Full caffeine,Somewhat strong,3.0,5.0,2.0,4.0,4.0,Coffee A,Coffee A,1.0,3.0,4.0,2.0,3.0,2.0,Coffee A,3.0,"Espresso, Pod/capsule machine (e.g. Keurig/Nespresso)","I need the ritual, It tastes good",Yes,Yes,$6-$8,I do a mix of both,Male,$60-$80,$4-$6,"More than $1,000",Yes,Yes,Less than high school
45-54 years old,Pourover,At home,No - just black,Fruity,2,Light,8.0,Full caffeine,Somewhat light,4.0,3.0,2.0,3.0,4.0,Coffee B,Coffee D,3.0,2.0,3.0,4.0,5.0,3.0,Coffee D,2.0,"Coffee extract (e.g. Cometeer), Pour over","It tastes good, I need the caffeine",Yes,Yes,$6-$8,I primarily work from home,Male,>$100,$8-$10,$100-$300,No,Yes,Bachelor's degree
35-44 years old,Latte,"At home, At the office","Milk, dairy alternative, or coffee creamer",Nutty,2,Medium,2.0,Full caffeine,Somewhat strong,1.0,2.0,2.0,5.0,3.0,Coffee C,Coffee D,2.0,3.0,4.0,2.0,5.0,2.0,Coffee D,3.0,Other,"It tastes good, I need the caffeine",Yes,No,$4-$6,I primarily work in person,Male,$20-$40,$6-$8,$50-$100,Yes,Yes,Bachelor's degree
35-44 years old,Espresso,"At home, At the office",No - just black,Nutty,3,Medium,8.0,Half caff,Somewhat strong,1.0,1.0,2.0,1.0,2.0,Coffee A,Coffee C,4.0,2.0,3.0,4.0,4.0,3.0,Coffee D,3.0,"Espresso, Pour over, French press, Cold brew","It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$8-$10,I do a mix of both,Male,$20-$40,$8-$10,"More than $1,000",No,No,Doctorate or professional degree
25-34 years old,Cortado,At home,No - just black,Chocolatey,2,Dark,7.0,Full caffeine,Somewhat strong,2.0,3.0,4.0,4.0,5.0,Coffee B,Coffee B,2.0,3.0,4.0,5.0,2.0,3.0,Coffee A,3.0,Espresso,"It tastes good, I need the ritual",Yes,No,$4-$6,I primarily work from home,Male,$60-$80,$6-$8,"More than $1,000",Yes,Yes,Bachelor's degree
35-44 years old,Cold brew,At home,No - just black,Nutty,2,Light,7.0,Full caffeine,Medium,1.0,4.0,4.0,2.0,2.0,Coffee A,Coffee D,3.0,2.0,3.0,4.0,5.0,2.0,Coffee D,3.0,"Espresso, Cold brew, Pour over","I need the ritual, It tastes good, I need the caffeine",Yes,Yes,$10-$15,I primarily work from home,Male,$40-$60,More than $20,$500-$1000,Yes,Yes,Bachelor's degree
25-34 years old,Cappuccino,"At home, At a cafe",No - just black,Fruity,More than 4,Light,6.0,Full caffeine,Somewhat strong,2.0,4.0,5.0,4.0,2.0,Coffee A,Coffee D,1.0,1.0,3.0,5.0,5.0,3.0,Coffee D,3.0,Other,"I need the ritual, I need the caffeine, It tastes good",Yes,Yes,$6-$8,I primarily work from home,Male,>$100,More than $20,$300-$500,Yes,No,Bachelor's degree
35-44 years old,Espresso,"At home, At a cafe",No - just black,Bold,More than 4,Medium,8.0,Full caffeine,Very strong,1.0,4.0,3.0,1.0,3.0,Coffee A,Coffee A,1.0,2.0,3.0,4.0,1.0,1.0,Coffee A,1.0,"Pod/capsule machine (e.g. Keurig/Nespresso), Cold brew, French press, Pour over, Coffee brewing machine (e.g. Mr. Coffee)","It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$8-$10,I primarily work from home,Male,>$100,$10-$15,$500-$1000,Yes,Yes,Master's degree
25-34 years old,Cappuccino,"At home, At a cafe, On the go, At the office",No - just black,Juicy,2,Light,8.0,Full caffeine,Somewhat strong,2.0,4.0,4.0,4.0,4.0,Coffee A,Coffee D,1.0,2.0,3.0,4.0,5.0,4.0,Coffee D,3.0,"Pour over, Espresso","It tastes good, I need the ritual",Yes,Yes,More than $20,I primarily work in person,Male,>$100,More than $20,"More than $1,000",No,Yes,Bachelor's degree
45-54 years old,Espresso,At home,"Milk, dairy alternative, or coffee creamer",Bold,More than 4,Dark,8.0,Full caffeine,Somewhat strong,2.0,2.0,3.0,4.0,4.0,Coffee B,Coffee B,3.0,2.0,3.0,4.0,2.0,3.0,Coffee D,3.0,"Espresso, Bean-to-cup machine, Pour over","It tastes good, I need the ritual, I need the caffeine",Yes,No,$8-$10,I primarily work from home,Male,$60-$80,$10-$15,"More than $1,000",No,Yes,Master's degree
25-34 years old,Latte,"At home, At a cafe","Milk, dairy alternative, or coffee creamer",Chocolatey,1,Medium,5.0,Full caffeine,Somewhat strong,2.0,3.0,3.0,3.0,3.0,Coffee A,Coffee D,2.0,2.0,3.0,4.0,4.0,1.0,Coffee D,2.0,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Cold brew",I need the ritual,Yes,No,$8-$10,I primarily work from home,Male,>$100,$10-$15,"More than $1,000",No,Yes,Bachelor's degree
25-34 years old,Pourover,"At home, At a cafe, On the go","Milk, dairy alternative, or coffee creamer",Nutty,2,Light,7.0,Full caffeine,Somewhat strong,2.0,5.0,5.0,5.0,2.0,Coffee A,Coffee A,3.0,1.0,4.0,3.0,3.0,4.0,Coffee A,2.0,"Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee)","It tastes good, I need the ritual, I need the caffeine, It makes me go to the bathroom",Yes,Yes,$10-$15,I primarily work from home,Male,$80-$100,$10-$15,$500-$1000,No,Yes,Bachelor's degree
45-54 years old,Cappuccino,"At home, At the office","Milk, dairy alternative, or coffee creamer",Chocolatey,2,Medium,6.0,Full caffeine,Medium,2.0,4.0,3.0,4.0,4.0,Coffee A,Coffee D,1.0,3.0,1.0,5.0,5.0,4.0,Coffee D,2.0,"Pour over, French press","It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$8-$10,I do a mix of both,Male,$40-$60,$8-$10,$100-$300,Yes,Yes,Master's degree
25-34 years old,Pourover,"At home, At a cafe, On the go",No - just black,Fruity,2,Light,8.0,Full caffeine,Very strong,3.0,4.0,2.0,4.0,3.0,Coffee A,Coffee D,4.0,2.0,3.0,5.0,4.0,3.0,Coffee D,2.0,"Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Cold brew",It tastes good,Yes,Yes,$8-$10,I primarily work from home,Male,$40-$60,$10-$15,$500-$1000,Yes,Yes,Master's degree
35-44 years old,Cold brew,At home,"Milk, dairy alternative, or coffee creamer",Chocolatey,1,Medium,6.0,Full caffeine,Medium,2.0,4.0,2.0,2.0,5.0,Coffee B,Coffee B,3.0,2.0,2.0,4.0,1.0,3.0,Coffee A,4.0,French press,"It tastes good, I need the caffeine",Yes,Yes,$6-$8,I primarily work from home,Female,$20-$40,$6-$8,$50-$100,Yes,Yes,Bachelor's degree
35-44 years old,Espresso,At home,No - just black,Fruity,2,Nordic,9.0,Full caffeine,Somewhat strong,3.0,3.0,4.0,3.0,2.0,Coffee A,Coffee D,1.0,1.0,3.0,4.0,4.0,3.0,Coffee D,2.0,"Espresso, Pour over",It tastes good,Yes,Yes,$15-$20,I do a mix of both,Male,>$100,More than $20,"More than $1,000",Yes,Yes,Doctorate or professional degree
25-34 years old,Latte,"At the office, At home","Milk, dairy alternative, or coffee creamer",Chocolatey,3,Medium,7.0,Full caffeine,Somewhat strong,2.0,5.0,3.0,5.0,2.0,Coffee C,Coffee C,1.0,4.0,5.0,5.0,4.0,3.0,Coffee A,3.0,"Espresso, Pour over",It tastes good,Yes,Yes,$10-$15,I do a mix of both,Male,$40-$60,More than $20,"More than $1,000",No,Yes,Master's degree
25-34 years old,Americano,"At home, At the office",No - just black,Full Bodied,2,Dark,3.0,Full caffeine,Medium,2.0,2.0,3.0,5.0,4.0,Coffee B,Coffee B,3.0,2.0,3.0,4.0,2.0,4.0,Coffee D,3.0,Coffee extract (e.g. Cometeer),"I need the caffeine, It tastes good",Yes,Yes,$8-$10,I do a mix of both,Female,>$100,$15-$20,$20-$50,Yes,No,Doctorate or professional degree
25-34 years old,Pourover,At home,No - just black,Fruity,3,Light,7.0,Full caffeine,Somewhat strong,3.0,2.0,5.0,4.0,2.0,Coffee C,Coffee D,1.0,2.0,3.0,5.0,5.0,4.0,Coffee D,3.0,Pour over,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$8-$10,I primarily work from home,Male,$40-$60,$15-$20,$300-$500,No,Yes,Bachelor's degree
25-34 years old,Latte,"At home, At the office","Milk, dairy alternative, or coffee creamer, No - just black",Chocolatey,3,Light,8.0,Full caffeine,Medium,1.0,5.0,2.0,1.0,3.0,Coffee A,Coffee D,2.0,1.0,2.0,2.0,1.0,3.0,Coffee A,3.0,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)","It tastes good, I need the caffeine",Yes,Yes,$15-$20,I primarily work in person,Male,$20-$40,$10-$15,$100-$300,No,Yes,Master's degree
25-34 years old,Espresso,"At home, On the go, At the office, At a cafe",No - just black,Fruity,1,Medium,6.0,Full caffeine,Very strong,3.0,4.0,3.0,3.0,3.0,Coffee A,Coffee D,1.0,1.0,3.0,4.0,5.0,4.0,Coffee D,2.0,Espresso,It tastes good,Yes,Yes,$8-$10,I primarily work from home,Male,$20-$40,$8-$10,$300-$500,Yes,Yes,Bachelor's degree
35-44 years old,Pourover,"At home, On the go",No - just black,Chocolatey,1,Medium,7.0,Full caffeine,Somewhat strong,4.0,5.0,4.0,4.0,4.0,Coffee A,Coffee A,4.0,2.0,3.0,5.0,1.0,2.0,Coffee A,2.0,Pour over,"I need the ritual, I need the caffeine, It makes me go to the bathroom, It tastes good",Yes,Yes,$6-$8,I do a mix of both,Female,$40-$60,$6-$8,$300-$500,No,Yes,Doctorate or professional degree
25-34 years old,Iced coffee,"At home, At a cafe",No - just black,Bright,2,Light,7.0,Decaf,Medium,2.0,4.0,3.0,3.0,2.0,Coffee A,Coffee D,1.0,2.0,2.0,4.0,5.0,3.0,Coffee D,2.0,"Pour over, Other","It tastes good, I need the ritual",Yes,Yes,$8-$10,I primarily work from home,Male,$80-$100,$8-$10,$500-$1000,Yes,Yes,Bachelor's degree
25-34 years old,Latte,At home,"Milk, dairy alternative, or coffee creamer",Full Bodied,3,Medium,3.0,Full caffeine,Medium,2.0,4.0,1.0,3.0,5.0,Coffee A,Coffee C,3.0,2.0,2.0,3.0,1.0,4.0,Coffee A,2.0,"Pour over, Cold brew","It tastes good, I need the caffeine",Yes,Yes,$15-$20,I primarily work in person,Male,>$100,More than $20,$500-$1000,Yes,Yes,Master's degree
25-34 years old,Americano,"At home, At the office, On the go, At a cafe",No - just black,Full Bodied,3,Light,7.0,Full caffeine,Somewhat strong,1.0,2.0,2.0,4.0,3.0,Coffee C,Coffee C,1.0,3.0,5.0,3.0,3.0,3.0,Coffee D,2.0,"Espresso, Coffee brewing machine (e.g. Mr. Coffee)","It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",Yes,Yes,$8-$10,I do a mix of both,Male,$20-$40,$10-$15,$20-$50,No,Yes,Bachelor's degree
45-54 years old,Cappuccino,"At the office, At home","No - just black, Milk, dairy alternative, or coffee creamer",Nutty,1,Medium,5.0,Decaf,Somewhat strong,3.0,4.0,2.0,3.0,2.0,Coffee A,Coffee A,1.0,4.0,1.0,4.0,2.0,2.0,Coffee A,5.0,"Espresso, Pour over, Coffee brewing machine (e.g. Mr. Coffee)","It tastes good, I need the ritual, It makes me go to the bathroom",Yes,Yes,$4-$6,I do a mix of both,Male,$20-$40,$4-$6,$500-$1000,No,Yes,Some college or associate's degree
25-34 years old,Pourover,At home,No - just black,Juicy,2,Light,6.0,Full caffeine,Somewhat strong,2.0,3.0,4.0,2.0,2.0,Coffee A,Coffee D,2.0,1.0,3.0,4.0,5.0,1.0,Coffee D,3.0,Pour over,"It tastes good, I need the caffeine",Yes,Yes,$10-$15,I primarily work from home,Male,$20-$40,$10-$15,$300-$500,No,Yes,Some college or associate's degree
35-44 years old,Pourover,At home,No - just black,Fruity,3,Light,8.0,Full caffeine,Medium,4.0,2.0,4.0,2.0,2.0,Coffee C,Coffee D,1.0,2.0,4.0,4.0,5.0,3.0,Coffee D,3.0,"Pour over, Espresso","It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$10-$15,I primarily work in person,Male,>$100,$10-$15,"More than $1,000",Yes,Yes,Some college or associate's degree
25-34 years old,Cortado,At home,"No - just black, Milk, dairy alternative, or coffee creamer",Nutty,2,Medium,7.0,Full caffeine,Somewhat strong,3.0,3.0,4.0,4.0,2.0,Coffee C,Coffee D,3.0,2.0,4.0,5.0,5.0,3.0,Coffee D,2.0,"Espresso, Pour over","It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$10-$15,I primarily work from home,Male,$20-$40,$15-$20,$500-$1000,Yes,Yes,Doctorate or professional degree
25-34 years old,Espresso,"At the office, At home",No - just black,Floral,3,Light,7.0,Full caffeine,Medium,4.0,2.0,2.0,4.0,2.0,Coffee C,Coffee D,2.0,4.0,3.0,4.0,4.0,3.0,Coffee D,4.0,Other,"It tastes good, I need the ritual, I need the caffeine",Yes,No,$8-$10,I primarily work from home,Male,$20-$40,More than $20,$300-$500,No,Yes,Bachelor's degree
25-34 years old,Espresso,"At home, At the office, At a cafe",No - just black,Full Bodied,More than 4,Medium,5.0,Full caffeine,Somewhat strong,3.0,4.0,4.0,3.0,3.0,Coffee A,Coffee A,1.0,3.0,4.0,5.0,2.0,2.0,Coffee A,2.0,"Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee)",It tastes good,Yes,No,$8-$10,I primarily work in person,Male,$40-$60,$8-$10,$500-$1000,Yes,Yes,High school graduate
35-44 years old,Americano,"At home, At a cafe",No - just black,Nutty,3,Medium,7.0,Full caffeine,Very strong,3.0,3.0,4.0,4.0,4.0,Coffee C,Coffee C,1.0,2.0,5.0,5.0,2.0,2.0,Coffee A,2.0,French press,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$6-$8,I primarily work from home,Male,$40-$60,$8-$10,$500-$1000,Yes,Yes,Bachelor's degree
